Date,Jour Mois,Jour Semaine,Price,Fear and Greed
01.01.2021,1,ven.,"29374,15",92
02.01.2021,2,sam.,"32127,32",90
03.01.2021,3,dim.,"32782,48",88
04.01.2021,4,lun.,"31971,03",85
05.01.2021,5,mar.,"33992,55",80
06.01.2021,6,mer.,"36824,87",78
07.01.2021,7,jeu.,"39460,21",76
